uf;cod_mun_ibge;nome_municipio;partido;coligacao;n_partidos;espvida;mort1;e_anosestudo;t_analf25m;ppob;rdpc;agua_esgoto;i_escolaridade;p_super;t_des18m;gini
AC;1200401;Rio Branco;PMDB-PSDB-PFL;Coligado;4;68,43;25,45;8,71;18,62;50,89;527,43;29,90;0,425;7,26;13,48;0,61
AC;1200138;Bujari;PMDB-PSDB-PFL;Coligado;3;67,39;28,33;6,58;48,37;79,68;238,86;28,34;0,165;2,02;3,95;0,64
AC;1200807;Porto Acre;PMDB-PSDB-PFL;Coligado;2;66,07;32,20;6,96;37,73;74,50;217,70;42,23;0,173;1,23;14,94;0,54
AL;2705903;Olho d'Água Grande;Outros;Coligado;3;64,21;46,61;4,98;62,15;91,77;98,98;23,72;0,098;0,00;0,85;0,66
AL;2706448;Paripueira;Outros;Coligado;5;63,52;49,30;6,60;39,73;87,35;168,82;14,90;0,192;1,03;39,90;0,55
AL;2705804;Olho d'Água do Casado;Outros;Coligado;3;64,01;47,40;5,58;57,64;78,82;170,87;49,73;0,077;0,00;10,96;0,60
AL;2705002;Mata Grande;Outros;Coligado;3;64,21;46,61;5,10;57,76;89,37;122,38;25,60;0,116;0,50;2,76;0,66
AL;2700409;Atalaia;Outros;Coligado;5;67,08;36,38;5,21;52,25;87,20;152,85;27,71;0,153;0,86;20,55;0,54
AL;2706505;Passo de Camaragibe;Outros;Coligado;4;62,07;55,20;5,46;57,23;92,16;133,65;17,49;0,121;0,17;10,33;0,60
AL;2700805;Belém;Outros;Coligado;5;64,28;46,35;6,31;50,80;85,61;144,86;45,32;0,155;1,91;6,66;0,58
AL;2706422;Pariconha;Outros;Coligado;3;62,07;55,23;5,53;52,73;89,51;101,98;37,21;0,072;0,29;4,28;0,64
AL;2702553;Estrela de Alagoas;PMDB-PSDB-PFL;Coligado;3;61,60;57,22;6,00;60,36;90,58;99,88;33,76;0,067;0,19;5,01;0,61
AL;2701704;Capela;PMDB-PSDB-PFL;Coligado;2;62,48;53,51;5,05;54,77;86,20;143,42;7,45;0,167;1,81;22,22;0,57
AL;2704401;Major Isidoro;PMDB-PSDB-PFL;Coligado;4;63,06;51,11;4,87;55,65;89,19;124,09;33,92;0,113;1,12;9,77;0,55
AL;2701902;Chã Preta;PMDB-PSDB-PFL;Coligado;2;61,48;57,74;5,86;52,94;90,43;121,46;4,67;0,136;0,95;12,59;0,57
AL;2705200;Messias;PMDB-PSDB-PFL;Coligado;2;63,78;48,26;5,47;46,50;86,64;152,81;10,03;0,135;0,91;32,39;0,52
AL;2704203;Limoeiro de Anadia;PMDB-PSDB-PFL;Coligado;2;63,20;50,57;5,51;58,85;90,30;125,03;64,45;0,100;0,18;9,36;0,57
AL;2707602;Quebrangulo;PMDB-PSDB-PFL;Não-coligado;2;63,56;49,14;5,00;55,20;89,22;151,14;20,17;0,104;1,20;9,33;0,63
AL;2703007;Ibateguara;PMDB-PSDB-PFL;Coligado;3;64,40;45,88;4,88;59,78;86,81;142,25;25,02;0,085;0,19;18,96;0,55
AL;2705309;Minador do Negrão;PMDB-PSDB-PFL;Coligado;2;65,30;42,57;5,67;58,40;89,01;128,64;38,14;0,120;0,45;14,60;0,48
AL;2704005;Junqueiro;PMDB-PSDB-PFL;Coligado;2;65,43;42,10;6,99;52,43;88,83;160,89;37,84;0,133;0,41;13,43;0,63
AL;2709152;Teotônio Vilela;PMDB-PSDB-PFL;Coligado;3;59,14;68,41;7,18;52,66;87,17;166,55;32,45;0,133;0,53;15,97;0,62
AL;2707701;Rio Largo;PMDB-PSDB-PFL;Coligado;4;67,76;34,16;7,06;31,76;73,28;232,77;14,97;0,294;2,81;26,82;0,51
AL;2702801;Flexeiras;PMDB-PSDB-PFL;Coligado;2;61,48;57,73;5,54;56,12;90,56;131,99;6,30;0,120;0,17;17,58;0,50
AL;2708105;Santana do Mundaú;Outros;Coligado;3;63,79;48,25;4,92;60,29;88,36;142,69;13,20;0,111;0,27;4,49;0,57
AL;2708808;São Sebastião;Outros;Coligado;3;62,80;52,20;5,75;59,91;88,66;139,48;50,53;0,085;0,40;8,61;0,63
AL;2706208;Palestina;PMDB-PSDB-PFL;Coligado;2;61,61;57,19;6,75;49,60;91,73;109,76;20,73;0,203;0,00;4,76;0,54
AL;2705101;Matriz de Camaragibe;PMDB-PSDB-PFL;Coligado;3;63,06;51,11;5,45;50,37;89,94;131,88;9,24;0,158;0,55;18,55;0,48
AL;2707503;Porto Real do Colégio;PMDB-PSDB-PFL;Coligado;2;62,07;55,23;5,07;52,95;88,95;120,15;18,93;0,132;0,46;9,50;0,65
AL;2701803;Carneiros;PMDB-PSDB-PFL;Coligado;2;59,52;66,63;6,44;49,10;86,35;117,40;45,95;0,101;0,00;3,35;0,52
AL;2701357;Campestre;PMDB-PSDB-PFL;Coligado;4;61,07;59,52;6,37;49,10;82,87;158,19;14,57;0,169;2,13;17,18;0,49
AL;2702306;Coruripe;PMDB-PSDB-PFL;Coligado;2;63,28;50,26;5,99;43,46;82,42;197,45;13,99;0,187;1,57;14,49;0,56
AL;2704708;Marechal Deodoro;PMDB-PSDB-PFL;Não-coligado;5;67,02;36,56;6,60;40,66;81,60;224,09;4,65;0,237;2,21;16,33;0,59
AL;2709301;União dos Palmares;PMDB-PSDB-PFL;Coligado;3;64,28;46,37;5,60;52,43;82,73;183,75;6,24;0,180;1,11;14,51;0,56
AL;2700607;Barra de São Miguel;PMDB-PSDB-PFL;Coligado;2;65,97;40,18;6,22;44,87;78,48;218,00;4,37;0,171;1,25;11,60;0,51
AL;2700102;Água Branca;PMDB-PSDB-PFL;Coligado;4;65,47;41,94;5,71;48,82;85,29;138,86;22,40;0,129;0,41;9,31;0,66
AL;2708501;São Luís do Quitunde;PMDB-PSDB-PFL;Coligado;5;66,03;39,95;4,80;54,50;88,26;141,55;16,00;0,143;0,62;17,52;0,50
AL;2704104;Lagoa da Canoa;PMDB-PSDB-PFL;Coligado;2;63,04;51,22;6,78;55,99;91,57;119,75;51,56;0,128;0,14;14,81;0,50
AL;2702405;Delmiro Gouveia;PMDB-PSDB-PFL;Coligado;4;64,44;45,73;6,43;37,73;76,82;226,71;14,35;0,185;1,58;16,32;0,58
AL;2704609;Maravilha;PMDB-PSDB-PFL;Coligado;2;64,82;44,34;5,32;55,50;94,19;85,80;27,38;0,105;0,41;8,09;0,59
AL;2708600;São Miguel dos Campos;PMDB-PSDB-PFL;Coligado;2;68,08;33,14;7,46;38,56;75,91;266,49;4,49;0,271;2,06;21,62;0,58
AL;2705507;Murici;PMDB-PSDB-PFL;Coligado;3;61,91;55,88;5,78;51,17;88,33;155,80;10,72;0,154;1,79;17,22;0,53
AL;2702702;Feliz Deserto;PMDB-PSDB-PFL;Coligado;2;66,19;39,42;6,43;50,38;89,19;120,65;27,34;0,149;0,48;9,62;0,43
AL;2706901;Pilar;Outros;Coligado;2;63,06;51,11;5,88;44,03;81,94;185,83;13,02;0,185;1,81;19,30;0,53
AL;2701407;Campo Alegre;Outros;Coligado;3;64,85;44,22;6,46;53,12;89,87;147,16;36,38;0,135;0,34;20,22;0,53
AL;2700508;Barra de Santo Antônio;Outros;Coligado;3;65,01;43,62;5,59;49,19;84,63;140,20;11,88;0,141;0,73;13,95;0,48
AL;2707404;Porto de Pedras;Outros;Coligado;3;63,06;51,11;4,98;59,49;92,33;99,56;11,55;0,107;0,84;17,41;0,61
AL;2702108;Colônia Leopoldina;Outros;Coligado;2;60,89;60,31;6,11;52,22;83,78;156,88;6,72;0,144;1,83;13,04;0,53
AL;2702009;Coité do Nóia;Outros;Coligado;2;63,20;50,57;6,07;58,19;90,43;123,33;62,15;0,098;0,41;6,65;0,57
AL;2705408;Monteirópolis;Outros;Coligado;2;62,07;55,20;5,17;58,28;91,72;197,95;30,10;0,098;0,25;5,75;0,82
AL;2703403;Jacaré dos Homens;Outros;Coligado;2;63,06;51,11;4,44;49,15;88,70;222,72;28,58;0,136;0,45;6,29;0,67
AL;2701506;Campo Grande;Outros;Coligado;2;63,20;50,57;4,58;62,80;90,23;114,38;11,32;0,059;0,17;0,95;0,68
AL;2702355;Craíbas;Outros;Coligado;2;63,20;50,57;5,63;60,15;87,97;116,00;42,97;0,081;0,00;3,05;0,49
AL;2703908;Jundiá;Outros;Coligado;2;62,85;51,98;6,20;56,96;92,22;126,24;12,17;0,132;0,00;15,66;0,49
AL;2700706;Batalha;Outros;Coligado;2;62,29;54,28;5,76;49,63;83,77;246,02;16,58;0,147;1,50;11,38;0,67
AL;2702900;Girau do Ponciano;Outros;Coligado;4;63,06;51,11;5,77;60,65;90,78;110,69;41,72;0,086;0,07;9,55;0,60
AL;2703502;Jacuípe;Outros;Coligado;5;63,02;51,29;4,04;56,84;88,10;118,77;24,77;0,126;1,30;18,55;0,56
AL;2708303;São José da Laje;Outros;Coligado;3;63,47;49,48;5,75;51,57;87,97;170,31;14,12;0,178;2,51;21,15;0,60
AL;2702207;Coqueiro Seco;Outros;Coligado;4;66,90;36,98;5,37;42,33;81,02;192,90;21,55;0,206;1,42;17,18;0,58
AL;2707008;Pindoba;Outros;Coligado;3;63,86;47,98;4,05;58,48;90,43;124,19;21,98;0,051;0,00;3,84;0,51
AL;2701605;Canapi;Outros;Coligado;2;61,48;57,74;5,51;62,27;91,21;83,83;36,37;0,075;0,56;8,67;0,67
AL;2706109;Ouro Branco;Outros;Coligado;2;62,55;53,21;6,58;45,88;86,78;126,89;36,27;0,137;0,00;8,94;0,57
AL;2708709;São Miguel dos Milagres;Outros;Coligado;3;67,81;33,98;6,83;44,56;85,66;160,08;7,02;0,161;0,99;15,21;0,58
AL;2705705;Olho d'Água das Flores;Outros;Coligado;3;62,98;51,44;5,91;45,96;80,72;192,01;13,16;0,166;0,94;11,96;0,64
AL;2708907;Satuba;Outros;Coligado;2;68,93;30,50;7,89;29,35;70,75;253,41;7,58;0,354;3,93;21,66;0,54
AL;2706703;Penedo;PMDB-PSDB-PFL;Coligado;3;65,37;42,32;7,36;36,73;77,94;255,31;18,94;0,278;7,10;18,66;0,64
AL;2702603;Feira Grande;PMDB-PSDB-PFL;Coligado;3;62,53;53,29;6,01;59,24;89,18;135,19;49,47;0,103;0,84;2,37;0,59
AL;2700904;Belo Monte;PMDB-PSDB-PFL;Coligado;2;62,75;52,40;5,82;55,02;90,08;108,35;30,55;0,069;0,00;7,73;0,56
AL;2700300;Arapiraca;PMDB-PSDB-PFL;Coligado;2;64,01;47,40;7,56;37,37;73,57;258,45;26,44;0,242;3,67;12,78;0,57
AL;2703205;Igreja Nova;PMDB-PSDB-PFL;Coligado;2;66,90;36,98;5,97;58,83;90,35;114,65;20,00;0,096;0,89;9,61;0,59
AL;2707909;Santa Luzia do Norte;PMDB-PSDB-PFL;Coligado;4;64,18;46,73;7,22;36,92;85,05;174,56;12,55;0,196;0,82;28,14;0,53
AL;2708402;São José da Tapera;PMDB-PSDB-PFL;Coligado;2;59,35;67,40;6,01;60,35;92,31;87,03;33,97;0,087;0,34;9,10;0,72
AL;2706604;Paulo Jacinto;PMDB-PSDB-PFL;Coligado;3;65,30;42,57;6,22;50,78;88,69;126,80;2,44;0,155;0,96;14,71;0,56
AL;2701308;Cajueiro;PMDB-PSDB-PFL;Coligado;3;60,49;62,14;5,75;55,90;88,46;127,46;3,39;0,142;0,95;21,41;0,46
AL;2704500;Maragogi;PMDB-PSDB-PFL;Coligado;2;67,81;33,98;5,67;47,25;86,36;144,21;16,69;0,158;0,70;15,38;0,56
AL;2709400;Viçosa;PMDB-PSDB-PFL;Coligado;4;63,47;49,48;6,15;51,05;83,84;185,40;12,23;0,165;2,11;20,03;0,63
AL;2704906;Mar Vermelho;PMDB-PSDB-PFL;Coligado;2;65,61;41,44;6,59;49,31;89,18;130,31;23,63;0,137;0,93;8,09;0,57
AL;2707107;Piranhas;PMDB-PSDB-PFL;Coligado;4;65,03;43,69;5,92;45,06;76,09;257,64;10,65;0,237;2,63;12,62;0,71
AL;2707305;Porto Calvo;PMDB-PSDB-PFL;Coligado;3;65,63;41,38;5,87;47,67;88,34;138,44;14,98;0,165;1,94;21,63;0,54
AL;2701209;Cacimbinhas;PMDB-PSDB-PFL;Coligado;2;62,24;54,52;4,91;58,55;88,52;142,84;53,54;0,110;1,05;7,66;0,69
AL;2706406;Pão de Açúcar;PMDB-PSDB-PFL;Coligado;5;64,82;44,34;6,72;49,35;85,69;174,43;17,31;0,190;0,61;8,92;0,71
AL;2700201;Anadia;PMDB-PSDB-PFL;Coligado;3;64,65;44,96;6,76;51,91;84,63;170,30;28,98;0,166;1,13;16,00;0,58
AL;2709103;Taquarana;PMDB-PSDB-PFL;Coligado;2;65,15;43,11;6,64;57,53;88,89;125,15;51,84;0,108;0,47;16,15;0,60
AL;2703700;Jaramataia;PMDB-PSDB-PFL;Coligado;2;62,75;52,40;7,56;57,37;90,58;124,11;56,59;0,110;0,00;13,63;0,43
AL;2708204;São Brás;PMDB-PSDB-PFL;Coligado;2;67,05;36,46;7,46;53,58;86,58;134,80;12,22;0,174;1,17;10,18;0,60
AL;2702504;Dois Riachos;PMDB-PSDB-PFL;Coligado;2;63,06;51,11;4,97;57,83;86,24;148,66;38,39;0,102;0,88;4,30;0,54
AL;2709004;Tanque d'Arca;PMDB-PSDB-PFL;Coligado;3;65,08;43,37;6,36;59,51;87,66;130,62;31,58;0,111;1,06;10,90;0,63
AL;2701001;Boca da Mata;PMDB-PSDB-PFL;Coligado;4;64,85;44,22;7,07;46,66;85,08;170,78;3,41;0,158;1,36;20,29;0,56
AL;2706000;Olivença;PMDB-PSDB-PFL;Coligado;3;59,12;68,54;5,23;54,57;93,55;82,30;37,96;0,093;0,34;11,57;0,67
AL;2709202;Traipu;PMDB-PSDB-PFL;Coligado;4;63,06;51,11;4,28;60,40;92,16;83,20;18,85;0,097;1,25;7,80;0,75
AL;2707800;Roteiro;PMDB-PSDB-PFL;Coligado;2;57,46;76,84;5,09;59,26;90,37;130,36;26,73;0,091;0,00;15,01;0,53
AL;2703304;Inhapi;PMDB-PSDB-PFL;Coligado;2;61,19;59,00;4,33;62,35;90,13;102,21;36,80;0,054;0,23;7,67;0,67
AL;2703759;Jequiá da Praia;PMDB-PSDB-PFL;Coligado;3;64,01;47,40;5,79;51,61;88,40;127,56;11,11;0,114;0,00;6,10;0,41
AL;2703809;Joaquim Gomes;PMDB-PSDB-PFL;Coligado;2;63,06;51,11;4,98;59,24;89,86;123,78;22,36;0,096;0,20;22,58;0,55
AL;2705606;Novo Lino;PMDB-PSDB-PFL;Coligado;2;58,35;72,27;4,56;57,62;76,26;200,13;16,77;0,099;0,35;17,81;0,54
AL;2704807;Maribondo;Outros;Coligado;3;65,61;41,44;7,32;47,35;83,19;206,13;10,18;0,154;1,80;14,74;0,63
AL;2707206;Poço das Trincheiras;Outros;Coligado;2;59,52;66,63;5,73;59,92;94,00;69,20;25,84;0,082;0,08;1,64;0,67
AL;2708956;Senador Rui Palmeira;Outros;Coligado;2;60,49;62,14;5,35;58,36;92,90;79,05;24,18;0,073;0,11;4,67;0,68
AL;2708006;Santana do Ipanema;Outros;Não-coligado;5;63,30;50,16;6,22;46,14;82,49;188,57;24,64;0,181;2,25;11,32;0,68
AL;2706307;Palmeira dos Índios;Outros;Coligado;5;68,00;33,39;7,16;39,02;73,85;234,81;24,18;0,228;3,50;13,42;0,58
AL;2703106;Igaci;Outros;Coligado;3;64,01;47,40;6,15;58,21;91,12;93,96;46,97;0,105;0,29;4,43;0,62
AL;2706802;Piaçabuçu;Outros;Coligado;2;64,50;45,52;6,36;45,64;83,76;164,28;17,67;0,170;2,92;14,93;0,55
AL;2701100;Branquinha;Outros;Coligado;3;59,42;67,07;4,14;64,68;94,22;121,11;10,01;0,070;0,37;9,38;0,54
AM;1304104;Tapauá;PMDB-PSDB-PFL;Coligado;2;61,25;63,34;3,14;55,70;92,93;95,65;20,51;0,113;0,00;15,24;0,61
AM;1302504;Manacapuru;PMDB-PSDB-PFL;Coligado;2;66,61;41,14;6,43;29,92;80,17;199,66;42,87;0,223;0,86;17,79;0,57
AM;1300839;Caapiranga;PMDB-PSDB-PFL;Coligado;3;64,91;47,60;5,20;34,69;85,01;150,83;35,26;0,158;0,58;8,18;0,53
AM;1301803;Ipixuna;PMDB-PSDB-PFL;Coligado;2;64,91;47,60;4,87;64,34;94,08;81,81;46,20;0,100;0,47;10,79;0,68
AM;1303403;Parintins;PMDB-PSDB-PFL;Coligado;6;67,30;38,66;7,59;13,49;83,94;184,11;59,54;0,291;1,54;14,31;0,61
AM;1303502;Pauini;PMDB-PSDB-PFL;Coligado;2;62,06;59,65;3,34;61,75;80,87;198,75;39,72;0,084;0,81;8,44;0,70
AM;1300607;Benjamin Constant;PMDB-PSDB-PFL;Coligado;3;65,71;44,48;6,05;37,99;87,13;141,53;45,05;0,174;1,13;13,71;0,61
AM;1302405;Lábrea;PMDB-PSDB-PFL;Não-coligado;5;66,26;42,43;5,86;51,67;88,73;136,22;28,35;0,128;0,55;22,02;0,66
AM;1300409;Barcelos;PMDB-PSDB-PFL;Coligado;2;66,57;41,29;3,91;49,60;68,68;217,27;40,86;0,127;0,23;7,28;0,64
AM;1300300;Autazes;PMDB-PSDB-PFL;Não-coligado;7;66,96;39,86;5,84;26,95;83,32;173,53;64,58;0,169;1,08;10,32;0,66
AM;1302108;Japurá;PMDB-PSDB-PFL;Coligado;4;65,71;44,48;3,35;43,13;75,35;197,57;45,54;0,051;0,00;25,06;0,57
AM;1303809;São Gabriel da Cachoeira;PMDB-PSDB-PFL;Coligado;4;68,60;34,20;5,87;30,43;78,42;213,37;10,21;0,255;2,42;4,51;0,77
AM;1301704;Humaitá;PMDB-PSDB-PFL;Coligado;2;66,96;39,86;6,56;33,64;74,38;269,39;38,42;0,256;2,30;10,04;0,69
AM;1300201;Atalaia do Norte;PMDB-PSDB-PFL;Coligado;4;64,91;47,60;3,83;58,65;83,13;147,86;28,63;0,134;2,38;16,76;0,74
AM;1301506;Envira;PMDB-PSDB-PFL;Coligado;2;63,53;53,21;5,13;56,29;92,98;102,25;30,59;0,126;0,47;24,34;0,63
AM;1303106;Nova Olinda do Norte;PMDB-PSDB-PFL;Coligado;4;65,85;43,95;5,05;33,84;81,69;203,68;69,91;0,128;1,33;15,34;0,68
AM;1303601;Santa Isabel do Rio Negro;PMDB-PSDB-PFL;Coligado;3;62,23;58,86;5,27;42,52;88,09;106,81;18,80;0,179;0,25;8,61;0,67
AM;1300805;Borba;Outros;Coligado;4;64,21;50,40;4,87;28,40;81,06;191,74;65,59;0,160;0,51;15,42;0,64
AM;1302306;Jutaí;Outros;Coligado;3;64,21;50,40;3,13;53,66;92,62;119,48;30,20;0,100;0,43;13,38;0,80
AM;1300508;Barreirinha;Outros;Coligado;2;66,57;41,29;5,83;23,07;87,90;121,34;78,17;0,211;1,63;6,07;0,58
AM;1303700;Santo Antônio do Içá;Outros;Coligado;2;64,91;47,60;3,83;54,60;93,06;90,43;75,48;0,124;0,55;10,18;0,65
AM;1304260;Uarini;Outros;Coligado;2;64,84;47,88;2,65;39,34;83,77;148,94;45,08;0,146;0,55;9,66;0,51
AM;1303205;Novo Airão;Outros;Coligado;4;64,95;47,45;6,29;27,39;83,15;190,48;40,76;0,176;1,52;14,86;0,55
AM;1301902;Itacoatiara;Outros;Coligado;6;69,44;31,46;6,68;16,83;78,57;235,91;49,62;0,292;1,30;15,13;0,60
AM;1301209;Coari;Outros;Coligado;6;67,16;39,16;5,76;40,99;86,04;159,29;31,40;0,194;0,73;13,53;0,57
AM;1303304;Novo Aripuanã;PMDB-PSDB-PFL;Coligado;2;66,26;42,43;4,65;36,76;81,63;206,15;50,24;0,144;0,97;20,22;0,64
AM;1300144;Apuí;PMDB-PSDB-PFL;Coligado;4;65,85;43,95;6,35;26,39;78,08;254,78;55,16;0,151;0,66;2,62;0,76
AM;1300102;Anori;PMDB-PSDB-PFL;Coligado;3;65,50;45,30;4,97;33,34;81,80;181,92;37,58;0,209;0,90;6,99;0,58
AM;1300086;Anamã;PMDB-PSDB-PFL;Coligado;2;63,05;55,28;5,42;33,02;82,73;196,17;34,97;0,147;0,00;1,65;0,68
AM;1304237;Tonantins;PMDB-PSDB-PFL;Coligado;2;64,95;47,45;4,21;39,88;91,29;112,67;67,82;0,098;0,38;3,35;0,54
AM;1303957;São Sebastião do Uatumã;PMDB-PSDB-PFL;Coligado;6;64,68;48,50;6,81;18,02;87,12;147,69;45,61;0,260;0,26;4,38;0,54
AM;1301407;Eirunepé;PMDB-PSDB-PFL;Coligado;3;63,86;51,85;5,67;57,45;89,93;138,20;44,67;0,194;0,14;14,52;0,64
AM;1302009;Itapiranga;PMDB-PSDB-PFL;Coligado;3;67,81;36,85;6,66;13,84;86,34;144,72;52,56;0,246;0,61;18,87;0,54
AM;1300060;Amaturá;PMDB-PSDB-PFL;Coligado;5;66,61;41,14;6,01;34,38;87,16;120,37;52,38;0,194;0,85;13,77;0,66
AM;1302702;Manicoré;PMDB-PSDB-PFL;Coligado;5;66,57;41,29;4,92;35,21;87,92;140,08;48,88;0,151;0,53;14,98;0,60
AM;1301159;Careiro da Várzea;PMDB-PSDB-PFL;Coligado;3;66,61;41,14;6,05;28,49;87,15;164,23;78,27;0,119;0,20;2,59;0,58
AM;1304302;Urucará;PMDB-PSDB-PFL;Coligado;2;67,16;39,16;6,08;18,81;86,56;289,82;49,86;0,246;0,40;6,79;0,75
AM;1301951;Itamarati;PMDB-PSDB-PFL;Coligado;3;64,68;48,50;3,15;68,99;77,50;187,55;36,51;0,086;0,00;3,41;0,65
AM;1300029;Alvarães;PMDB-PSDB-PFL;Coligado;3;65,37;45,79;4,96;35,82;80,93;184,29;61,00;0,125;1,31;8,90;0,55
AM;1301605;Fonte Boa;Outros;Coligado;3;62,06;59,65;3,63;49,56;81,90;161,97;24,43;0,064;0,35;4,06;0,64
AM;1304401;Urucurituba;Outros;Coligado;5;66,61;41,14;6,19;18,52;88,23;126,60;57,22;0,217;0,18;7,71;0,63
AM;1303536;Presidente Figueiredo;Outros;Coligado;3;68,26;35,34;7,41;15,33;62,22;387,62;20,32;0,326;2,86;8,00;0,61
AM;1301308;Codajás;PMDB-PSDB-PFL;Coligado;2;64,68;48,50;5,02;38,37;75,22;234,31;42,56;0,214;0,14;16,06;0,59
AM;1300706;Boca do Acre;PMDB-PSDB-PFL;Coligado;6;65,11;46,81;5,10;44,83;79,31;191,39;37,98;0,170;0,62;8,23;0,61
AM;1304005;Silves;PMDB-PSDB-PFL;Coligado;2;66,26;42,43;6,97;16,04;73,11;226,09;60,65;0,214;0,92;5,50;0,59
AM;1303908;São Paulo de Olivença;PMDB-PSDB-PFL;Coligado;3;64,95;47,45;4,08;52,78;91,54;102,57;63,32;0,120;1,38;11,07;0,69
AM;1301852;Iranduba;PMDB-PSDB-PFL;Coligado;6;70,24;28,97;5,90;28,03;77,39;226,53;55,83;0,202;0,95;15,80;0,59
AM;1300631;Beruri;PMDB-PSDB-PFL;Coligado;2;63,53;53,21;3,79;45,14;88,64;135,76;36,86;0,113;0,51;5,56;0,62
AM;1303007;Nhamundá;PMDB-PSDB-PFL;Coligado;2;65,85;43,95;7,20;21,88;86,22;136,82;75,99;0,248;0,24;5,60;0,55
AM;1302553;Manaquiri;Outros;Não-coligado;7;65,22;46,38;5,64;29,27;77,26;234,85;64,91;0,163;0,00;4,71;0,63
AM;1301001;Carauari;Outros;Coligado;2;63,05;55,28;5,08;55,17;89,99;160,01;29,93;0,107;0,37;23,91;0,73
AM;1304203;Tefé;Outros;Coligado;6;67,05;39,53;6,18;28,28;77,13;236,73;35,38;0,243;1,91;17,16;0,57
AM;1302801;Maraã;Outros;Coligado;3;63,86;51,85;2,95;45,90;91,73;108,66;51,40;0,062;0,20;15,34;0,55
AM;1301100;Careiro;Outros;Coligado;3;66,96;39,86;5,17;33,76;86,15;145,34;75,95;0,091;0,27;9,69;0,64
AM;1303569;Rio Preto da Eva;Outros;Coligado;3;67,30;38,66;6,23;25,53;81,89;213,85;46,26;0,229;1,04;19,15;0,60
AM;1304062;Tabatinga;Outros;Coligado;5;68,05;36,03;6,00;28,39;72,07;279,82;46,10;0,279;2,31;9,53;0,63
AM;1302900;Maués;Outros;Coligado;3;67,81;36,85;6,56;21,23;85,24;191,31;61,13;0,222;0,88;10,90;0,66
AM;1302207;Juruá;Outros;Coligado;2;61,25;63,34;3,75;46,61;87,43;158,18;32,73;0,135;0,28;5,45;0,73
AM;1302603;Manaus;Outros;Coligado;8;68,60;34,20;8,30;8,11;52,08;531,53;11,66;0,518;6,48;22,62;0,62
AP;1600303;Macapá;Outros;Coligado;6;70,21;24,12;9,24;12,25;51,58;506,43;19,30;0,529;6,51;18,07;0,60
BA;2903300;Barro Preto;Outros;Coligado;3;61,92;53,66;7,42;38,27;85,47;167,44;16,28;0,183;0,59;15,75;0,50
BA;2929305;São Gonçalo dos Campos;Outros;Coligado;4;63,45;47,81;7,40;30,54;77,70;221,05;27,11;0,230;1,02;15,58;0,57
BA;2900900;Almadina;Outros;Coligado;2;64,41;44,35;6,67;45,46;86,15;165,85;8,39;0,130;0,84;21,80;0,52
BA;2926103;Retirolândia;PMDB-PSDB-PFL;Coligado;3;62,86;50,02;8,78;37,10;82,86;226,32;35,61;0,204;0,78;10,91;0,61
BA;2932606;Urandi;PMDB-PSDB-PFL;Não-coligado;2;67,51;34,11;8,01;39,27;65,68;283,00;16,52;0,126;1,04;9,36;0,56
BA;2917904;Jandaíra;PMDB-PSDB-PFL;Coligado;3;62,45;51,57;5,33;50,47;90,36;114,94;26,98;0,118;0,16;12,57;0,53
BA;2930154;Serra do Ramalho;PMDB-PSDB-PFL;Coligado;2;63,50;47,63;7,50;42,73;88,60;122,50;53,33;0,151;0,00;9,61;0,63
BA;2920700;Maraú;PMDB-PSDB-PFL;Coligado;3;65,17;41,73;4,82;53,87;89,28;204,51;23,93;0,086;1,79;11,52;0,71
BA;2917201;Ituaçu;PMDB-PSDB-PFL;Coligado;3;64,68;43,41;6,06;46,47;81,73;233,56;8,58;0,109;0,36;8,14;0,61
BA;2910107;Dom Basílio;PMDB-PSDB-PFL;Coligado;2;65,20;41,62;7,51;38,39;79,75;167,57;24,11;0,111;0,22;4,67;0,47
BA;2910305;Elísio Medrado;PMDB-PSDB-PFL;Coligado;2;66,13;38,50;8,28;39,03;78,72;208,82;17,99;0,131;0,18;3,56;0,52
BA;2910057;Dias d'Ávila;PMDB-PSDB-PFL;Coligado;2;67,93;32,83;8,09;16,13;65,67;305,38;5,66;0,342;1,71;29,64;0,53
BA;2921807;Mortugaba;PMDB-PSDB-PFL;Não-coligado;2;68,49;31,19;7,97;41,11;78,32;181,63;25,24;0,146;0,45;15,69;0,58
BA;2929206;São Francisco do Conde;PMDB-PSDB-PFL;Coligado;3;66,34;37,84;8,24;22,75;71,66;248,79;7,44;0,276;1,03;31,33;0,57
BA;2929750;Saubara;PMDB-PSDB-PFL;Não-coligado;4;63,74;46,77;8,38;24,62;77,56;204,50;14,67;0,241;0,29;9,18;0,45
BA;2914307;Iramaia;PMDB-PSDB-PFL;Coligado;2;65,78;39,66;6,38;39,25;90,68;131,81;28,65;0,146;0,40;8,37;0,48
BA;2930501;Serrinha;PMDB-PSDB-PFL;Coligado;6;64,79;43,01;6,70;28,60;76,47;223,54;14,85;0,269;1,66;14,43;0,59
BA;2927408;Salvador;PMDB-PSDB-PFL;Coligado;6;69,64;36,35;8,97;7,76;46,63;685,87;2,07;0,562;11,10;23,44;0,64
BA;2919009;Lajedinho;PMDB-PSDB-PFL;Coligado;1;62,13;52,84;6,12;39,16;90,60;126,63;5,21;0,079;0,00;3,97;0,51
