Dummy_cor;Dummy_sexo;Dummy_EnsSuperior;Dummy_Classe;receita_proc_ln;reeleicao;resultado
Não-branca;Feminino;Ensino Superior;Sem classe alta ou muito alta;-9,76444244384766;Não;0
Não-branca;Feminino;Ensino Superior;Sem classe alta ou muito alta;-8,88897323608398;Não;0
Branca;Masculino;Ensino Superior;Classe alta e muito alta;-6,22027063369751;Não;0
Não-branca;Masculino;Ensino Superior;Classe alta e muito alta;-9,86980247497559;Não;0
Não-branca;Masculino;Sem ensino superior;Sem classe alta ou muito alta;-9,00363636016846;Não;0
Branca;Masculino;Ensino Superior;Classe alta e muito alta;-7,97021913528442;Não;0
Não-branca;Masculino;Ensino Superior;Classe alta e muito alta;-8,75269603729248;Não;0
Branca;Masculino;Ensino Superior;Classe alta e muito alta;-2,82535552978516;Não;0
Branca;Masculino;Ensino Superior;Classe alta e muito alta;-3,69482350349426;Não;0
Não-branca;Feminino;Sem ensino superior;Sem classe alta ou muito alta;-9,45695781707764;Não;0
Não-branca;Masculino;Ensino Superior;Sem classe alta ou muito alta;-4,82458734512329;Não;0
Branca;Feminino;Sem ensino superior;Sem classe alta ou muito alta;-9,35897731781006;Não;0
Não-branca;Masculino;Ensino Superior;Classe alta e muito alta;-9,58212089538574;Não;0
Branca;Feminino;Sem ensino superior;Classe alta e muito alta;-7,01078176498413;Não;0
Branca;Masculino;Ensino Superior;Classe alta e muito alta;-6,28783321380615;Não;0
Branca;Feminino;Ensino Superior;Classe alta e muito alta;-3,14918327331543;Sim;0
Branca;Masculino;Ensino Superior;Sem classe alta ou muito alta;-9,35897731781006;Não;0
Branca;Feminino;Sem ensino superior;Sem classe alta ou muito alta;-8,02397632598877;Não;0
Branca;Masculino;Sem ensino superior;Classe alta e muito alta;-2,57440805435181;Sim;1
Não-branca;Masculino;Ensino Superior;Classe alta e muito alta;-4,99370861053467;Não;0
Não-branca;Masculino;Ensino Superior;Sem classe alta ou muito alta;-6,08037137985229;Não;0
Branca;Masculino;Sem ensino superior;Classe alta e muito alta;-7,85861063003540;Não;0
Não-branca;Masculino;Ensino Superior;Sem classe alta ou muito alta;-5,00607538223267;Não;0
Não-branca;Masculino;Sem ensino superior;Sem classe alta ou muito alta;-6,02677297592163;Não;0
Branca;Feminino;Ensino Superior;Sem classe alta ou muito alta;-9,35897731781006;Não;0
Branca;Masculino;Ensino Superior;Classe alta e muito alta;-4,88087797164917;Não;0
Branca;Masculino;Ensino Superior;Classe alta e muito alta;-5,18139457702637;Não;0
Branca;Masculino;Ensino Superior;Classe alta e muito alta;-2,03191828727722;Sim;1
Branca;Masculino;Sem ensino superior;Classe alta e muito alta;-7,70685291290283;Não;0
Branca;Masculino;Ensino Superior;Classe alta e muito alta;-7,83381986618042;Não;0
Não-branca;Masculino;Ensino Superior;Classe alta e muito alta;-6,13134908676147;Não;0
Não-branca;Feminino;Sem ensino superior;Sem classe alta ou muito alta;-9,45695781707764;Não;0
Não-branca;Masculino;Ensino Superior;Sem classe alta ou muito alta;-8,27783203125000;Não;0
Branca;Masculino;Ensino Superior;Classe alta e muito alta;-2,84459924697876;Não;0
Não-branca;Feminino;Sem ensino superior;Sem classe alta ou muito alta;-10,06939315795898;Não;0
Branca;Feminino;Ensino Superior;Sem classe alta ou muito alta;-8,96513462066650;Não;0
Não-branca;Masculino;Ensino Superior;Classe alta e muito alta;-8,22972774505615;Não;0
Branca;Masculino;Ensino Superior;Sem classe alta ou muito alta;-4,83578872680664;Não;0
Não-branca;Masculino;Sem ensino superior;Classe alta e muito alta;-7,02713489532471;Não;0
Branca;Masculino;Ensino Superior;Classe alta e muito alta;-9,60147380828857;Não;0
Branca;Masculino;Ensino Superior;Sem classe alta ou muito alta;-4,33883190155029;Não;0
Branca;Masculino;Sem ensino superior;Classe alta e muito alta;-5,98746061325073;Não;0
Branca;Masculino;Ensino Superior;Classe alta e muito alta;-4,76966953277588;Não;0
Não-branca;Masculino;Ensino Superior;Classe alta e muito alta;-7,44205474853516;Não;0
Não-branca;Feminino;Ensino Superior;Classe alta e muito alta;-5,04498958587646;Não;0
Não-branca;Masculino;Ensino Superior;Sem classe alta ou muito alta;-5,95352268218994;Não;0
Não-branca;Masculino;Sem ensino superior;Sem classe alta ou muito alta;-7,01343488693237;Não;0
Branca;Masculino;Sem ensino superior;Classe alta e muito alta;-8,05425453186035;Não;0
Branca;Masculino;Ensino Superior;Classe alta e muito alta;-5,07151699066162;Não;0
Não-branca;Feminino;Ensino Superior;Sem classe alta ou muito alta;-9,76444244384766;Não;0
Não-branca;Masculino;Sem ensino superior;Sem classe alta ou muito alta;-10,45758914947510;Não;0
Não-branca;Feminino;Ensino Superior;Classe alta e muito alta;-8,60442161560059;Não;0
Não-branca;Feminino;Ensino Superior;Classe alta e muito alta;-8,90578079223633;Não;0
Não-branca;Masculino;Sem ensino superior;Classe alta e muito alta;-8,30375003814697;Não;0
Não-branca;Masculino;Ensino Superior;Classe alta e muito alta;-3,12652921676636;Não;1
Branca;Masculino;Ensino Superior;Classe alta e muito alta;-2,25124597549438;Não;1
Branca;Masculino;Ensino Superior;Classe alta e muito alta;-6,88833808898926;Não;0
Branca;Feminino;Sem ensino superior;Sem classe alta ou muito alta;-8,04498481750488;Não;0
Branca;Masculino;Ensino Superior;Classe alta e muito alta;-3,71972155570984;Não;0
Branca;Masculino;Ensino Superior;Sem classe alta ou muito alta;-4,81200122833252;Não;0
Branca;Masculino;Ensino Superior;Classe alta e muito alta;-2,48424363136292;Sim;1
Não-branca;Masculino;Ensino Superior;Classe alta e muito alta;-6,34860658645630;Não;0
Branca;Masculino;Ensino Superior;Classe alta e muito alta;-8,37814807891846;Sim;0
Não-branca;Masculino;Ensino Superior;Classe alta e muito alta;-6,40348434448242;Não;0
Branca;Masculino;Ensino Superior;Classe alta e muito alta;-3,01868009567261;Não;1
Não-branca;Feminino;Sem ensino superior;Sem classe alta ou muito alta;-12,34497070312500;Não;0
Branca;Masculino;Ensino Superior;Sem classe alta ou muito alta;-10,69631195068359;Não;0
Não-branca;Masculino;Ensino Superior;Classe alta e muito alta;-6,35350608825684;Não;0
Não-branca;Masculino;Ensino Superior;Classe alta e muito alta;-6,38729524612427;Não;0
Não-branca;Masculino;Ensino Superior;Classe alta e muito alta;-2,08179235458374;Não;1
Não-branca;Masculino;Ensino Superior;Classe alta e muito alta;-9,47606658935547;Não;0
Não-branca;Masculino;Ensino Superior;Classe alta e muito alta;-8,28044128417969;Não;0
Não-branca;Masculino;Sem ensino superior;Classe alta e muito alta;-6,34025859832764;Não;0
Não-branca;Masculino;Ensino Superior;Classe alta e muito alta;-3,07289123535156;Sim;1
Não-branca;Masculino;Ensino Superior;Classe alta e muito alta;-3,48056077957153;Sim;0
Não-branca;Masculino;Ensino Superior;Classe alta e muito alta;-2,42964124679565;Sim;1
Não-branca;Masculino;Ensino Superior;Classe alta e muito alta;-4,93204402923584;Não;0
Não-branca;Feminino;Sem ensino superior;Sem classe alta ou muito alta;-10,33006763458252;Não;0
Branca;Feminino;Ensino Superior;Classe alta e muito alta;-9,94707489013672;Não;0
Não-branca;Masculino;Ensino Superior;Classe alta e muito alta;-7,97552251815796;Não;0
Não-branca;Masculino;Ensino Superior;Classe alta e muito alta;-4,99406909942627;Não;0
Branca;Masculino;Ensino Superior;Classe alta e muito alta;-5,21571397781372;Não;0
Não-branca;Feminino;Ensino Superior;Sem classe alta ou muito alta;-6,14365005493164;Não;0
Branca;Masculino;Sem ensino superior;Classe alta e muito alta;-1,40513455867767;Não;1
Branca;Masculino;Sem ensino superior;Classe alta e muito alta;-7,98442268371582;Não;0
Branca;Masculino;Ensino Superior;Sem classe alta ou muito alta;-10,04238510131836;Não;0
Branca;Feminino;Ensino Superior;Classe alta e muito alta;-9,13917160034180;Não;0
Branca;Masculino;Sem ensino superior;Sem classe alta ou muito alta;-9,15449428558350;Não;0
Não-branca;Feminino;Ensino Superior;Classe alta e muito alta;-8,97767448425293;Não;0
Não-branca;Masculino;Ensino Superior;Sem classe alta ou muito alta;-3,48140048980713;Não;0
Não-branca;Feminino;Ensino Superior;Classe alta e muito alta;-7,27968788146973;Não;0
Não-branca;Masculino;Sem ensino superior;Sem classe alta ou muito alta;-6,08100080490112;Não;0
Branca;Masculino;Ensino Superior;Classe alta e muito alta;-3,85312199592590;Não;0
Branca;Masculino;Sem ensino superior;Classe alta e muito alta;-5,07025194168091;Não;0
Branca;Masculino;Ensino Superior;Sem classe alta ou muito alta;-8,29185390472412;Não;0
Não-branca;Masculino;Sem ensino superior;Classe alta e muito alta;-7,93912839889526;Não;0
Branca;Masculino;Sem ensino superior;Classe alta e muito alta;-6,89059877395630;Não;0
Não-branca;Masculino;Sem ensino superior;Classe alta e muito alta;-9,99359512329102;Não;0
Branca;Masculino;Ensino Superior;Classe alta e muito alta;-9,62367534637451;Não;0
Não-branca;Feminino;Sem ensino superior;Classe alta e muito alta;-8,73898124694824;Não;0
Não-branca;Masculino;Sem ensino superior;Sem classe alta ou muito alta;-9,82929229736328;Não;0
Não-branca;Masculino;Sem ensino superior;Classe alta e muito alta;-9,49948024749756;Não;0
Branca;Feminino;Sem ensino superior;Classe alta e muito alta;-8,91628742218018;Não;0
Não-branca;Masculino;Ensino Superior;Classe alta e muito alta;-4,59364700317383;Não;0
Não-branca;Feminino;Sem ensino superior;Sem classe alta ou muito alta;-10,47316837310791;Não;0
Não-branca;Feminino;Ensino Superior;Sem classe alta ou muito alta;-8,60778427124023;Não;0
Branca;Masculino;Sem ensino superior;Classe alta e muito alta;-9,87053489685059;Não;0
Branca;Feminino;Ensino Superior;Classe alta e muito alta;-2,83756017684937;Não;1
Branca;Masculino;Sem ensino superior;Classe alta e muito alta;-7,56049585342407;Não;0
Não-branca;Feminino;Ensino Superior;Classe alta e muito alta;-10,21971893310547;Não;0
Branca;Feminino;Ensino Superior;Sem classe alta ou muito alta;-10,33006763458252;Não;0
Não-branca;Masculino;Ensino Superior;Classe alta e muito alta;-10,33006763458252;Não;0
Não-branca;Feminino;Ensino Superior;Classe alta e muito alta;-5,55525255203247;Não;0
Não-branca;Feminino;Ensino Superior;Classe alta e muito alta;-8,90715217590332;Não;0
Branca;Feminino;Ensino Superior;Classe alta e muito alta;-9,42719936370850;Não;0
Branca;Masculino;Sem ensino superior;Classe alta e muito alta;-6,95701789855957;Não;0
Não-branca;Masculino;Ensino Superior;Classe alta e muito alta;-2,99191069602966;Sim;0
Branca;Masculino;Ensino Superior;Classe alta e muito alta;-8,38969612121582;Não;0
Não-branca;Feminino;Ensino Superior;Sem classe alta ou muito alta;-7,86763381958008;Não;0
Não-branca;Feminino;Ensino Superior;Classe alta e muito alta;-6,94590330123901;Não;0
Branca;Masculino;Ensino Superior;Classe alta e muito alta;-2,69386315345764;Não;1
Não-branca;Feminino;Ensino Superior;Classe alta e muito alta;-6,69165706634521;Não;0
Não-branca;Masculino;Ensino Superior;Classe alta e muito alta;-2,55609083175659;Não;0
Não-branca;Feminino;Ensino Superior;Classe alta e muito alta;-10,58711242675781;Não;0
Não-branca;Masculino;Sem ensino superior;Sem classe alta ou muito alta;-9,87053489685059;Não;0
Não-branca;Masculino;Ensino Superior;Classe alta e muito alta;-3,05836367607117;Sim;0
Branca;Masculino;Ensino Superior;Classe alta e muito alta;-6,52809762954712;Não;0
Não-branca;Masculino;Sem ensino superior;Sem classe alta ou muito alta;-6,64534139633179;Não;0
Não-branca;Feminino;Sem ensino superior;Sem classe alta ou muito alta;-9,57756996154785;Não;0
Não-branca;Masculino;Ensino Superior;Sem classe alta ou muito alta;-7,12886619567871;Não;0
Não-branca;Masculino;Ensino Superior;Classe alta e muito alta;-6,58488368988037;Não;0
Branca;Masculino;Sem ensino superior;Sem classe alta ou muito alta;-7,24235630035400;Não;0
Branca;Masculino;Sem ensino superior;Sem classe alta ou muito alta;-8,80437946319580;Não;0
