tx_nome_parlamentar;sg_uf;sg_partido;manutencao_de_escritorio_de_apoio_a_atividade_parlamentar;combustiveis_e_lubrificantes;consultorias_pesquisas_e_trabalhos_tecnicos;divulgacao_da_atividade_parlamentar;passagem_aerea_reembolso;telefonia;servicos_postais;fornecimento_de_alimentacao_do_parlamentar;hospedagem_exceto_do_parlamentar_no_distrito_federal;locacao_ou_fretamento_de_aeronaves;servico_de_taxi_pedagio_e_estacionamento;passagem_aerea_rpa;locacao_ou_fretamento_de_veiculos_automotores;passagem_aerea_sigepa;passagens_terrestres_maritimas_ou_fluviais;servico_de_seguranca_prestado_por_empresa_especializada;assinatura_de_publicacoes;aquisicao_de_tokens_e_certificados_digitais;locacao_ou_fretamento_de_embarcacoes;participacao_em_curso_palestra_ou_evento_similar
Marcel van Hattem;RS;NOVO;856,23;17738,82;13830,00;6007,06;33585,32;261,61;0,00;0,00;3059,85;0,0;1625,18;0,00;483,35;16757,07;0,00;0,00;1267,35;0,00;0;0
Túlio Gadêlha;PE;REDE;176441,76;23243,88;4000,00;86529,90;0,00;5868,92;964,41;0,00;5290,30;0,0;1653,59;1061,90;10793,53;65465,43;0,00;0,00;0,00;0,00;0;0
Afonso Florence;BA;PT;36118,48;32758,12;17500,00;111500,00;3227,90;3316,12;689,11;3664,52;3623,50;0,0;5346,97;49426,17;21155,03;35365,66;360,98;0,00;0,00;0,00;0;0
Luis Tibé;MG;AVANTE;48658,58;14671,01;0,00;79160,00;0,00;15092,17;957,03;0,00;731,47;0,0;0,00;1534,00;0,00;45451,83;0,00;0,00;0,00;0,00;0;0
Alessandro Molon;RJ;PSB;2149,97;11083,60;0,00;64973,01;21533,26;7431,30;173,73;0,00;2313,42;0,0;18357,00;10527,01;0,00;110239,53;0,00;0,00;6302,40;0,00;0;0
Aureo Ribeiro;RJ;SOLIDARIEDADE;21816,76;0,00;0,00;67731,72;7211,89;2162,00;1321,96;0,00;0,00;0,0;0,00;23143,76;0,00;112826,54;0,00;0,00;0,00;0,00;0;0
Paulo Foletto;ES;PSB;67212,95;31022,73;63000,00;30000,00;0,00;4145,75;1214,53;0,00;3887,00;0,0;0,00;34837,59;22840,00;0,00;0,00;0,00;149,40;0,00;0;0
Weliton Prado;MG;PROS;0,00;2268,72;0,00;166956,46;0,00;414,74;0,00;0,00;0,00;0,0;0,00;14770,64;9200,00;22124,58;0,00;0,00;0,00;0,00;0;0
Aguinaldo Ribeiro;PB;PP;4236,18;24227,83;0,00;30000,00;0,00;6491,87;1513,54;0,00;0,00;0,0;0,00;0,00;48700,00;126169,68;0,00;0,00;0,00;0,00;0;0
Danilo Cabral;PE;PSB;56579,07;30099,68;0,00;59370,00;0,00;3882,10;259,90;0,00;3450,02;0,0;0,00;1603,90;27850,00;89766,26;0,00;0,00;450,00;0,00;0;0
Jhonatan de Jesus;RR;REPUBLICANOS;571,90;0,00;0,00;58900,00;0,00;4193,14;659,55;0,00;0,00;0,0;0,00;5244,36;42000,00;119993,21;0,00;0,00;0,00;0,00;0;0
Eli Corrêa Filho;SP;UNIÃO;4440,00;4797,75;9080,00;75000,00;0,00;4215,54;176,73;0,00;0,00;0,0;0,00;1331,90;27650,00;133164,73;0,00;0,00;0,00;0,00;0;0
Lauriete;ES;PSC;53737,00;50950,95;0,00;61788,20;0,00;15221,51;186,20;0,00;0,00;0,0;0,00;0,00;56500,00;39672,39;0,00;8000,00;0,00;0,00;0;0
Marcon;RS;PT;53622,37;58363,56;14000,00;102538,50;0,00;13019,02;985,92;3377,55;26051,93;0,0;10328,30;0,00;16006,00;59404,24;315,80;0,00;1564,31;0,00;0;0
Bohn Gass;RS;PT;93405,84;39196,58;29250,00;54571,21;1397,32;16056,26;0,00;2529,48;19109,92;0,0;7735,92;0,00;34375,00;56457,87;5283,85;0,00;2027,20;0,00;0;0
Arthur Lira;AL;PP;0,00;26469,48;0,00;40000,00;0,00;2098,72;311,43;0,00;0,00;0,0;0,00;2749,65;0,00;105244,73;0,00;0,00;0,00;0,00;0;0
Márcio Macêdo;SE;PT;1139,00;24027,61;76000,00;0,00;0,00;1450,56;0,00;448,14;0,00;0,0;0,00;0,00;26000,00;35998,09;0,00;0,00;0,00;0,00;0;0
Alexandre Leite;SP;UNIÃO;163515,67;17774,73;0,00;0,00;0,00;8182,48;769,29;0,00;0,00;0,0;0,00;784,26;56100,00;95501,34;0,00;1935,44;1453,50;0,00;0;0
Danrlei de Deus Hinterholz;RS;PSD;25029,17;32600,96;0,00;0,00;0,00;7016,52;157,58;0,00;1976,20;0,0;856,40;0,00;81000,00;62276,48;0,00;0,00;0,00;0,00;0;0
Antonio Brito;BA;PSD;100653,54;43669,34;0,00;0,00;0,00;14992,86;523,56;0,00;0,00;0,0;0,00;97377,99;66000,00;41282,65;0,00;0,00;0,00;0,00;0;0
Padre João;MG;PT;55713,07;43656,89;61000,00;51526,72;0,00;5234,47;1592,15;0,00;5877,00;0,0;0,00;0,00;71800,00;29013,63;1333,80;0,00;360,00;0,00;0;0
Paulo Freire Costa;SP;PL;0,00;0,00;20500,00;60000,00;0,00;2645,07;508,70;0,00;0,00;0,0;0,00;3070,42;43800,00;52916,96;0,00;0,00;0,00;0,00;0;0
Alceu Moreira;RS;MDB;90008,98;46070,28;0,00;52225,00;8375,03;11814,75;352,60;491,15;6617,81;0,0;0,00;37812,74;45434,00;33267,68;0,00;1500,00;2109,00;0,00;0;0
Waldenor Pereira;BA;PT;14767,04;34859,20;0,00;123640,40;0,00;19688,44;345,51;128,79;0,00;0,0;0,00;1866,70;19573,19;66969,70;322,95;0,00;0,00;0,00;0;0
Jerônimo Goergen;RS;PP;60072,27;49263,44;0,00;19000,00;1210,32;15707,26;4415,98;2841,77;2598,05;0,0;2119,15;8765,20;48786,43;139566,16;0,00;0,00;113,70;0,00;0;0
Erika Kokay;DF;PT;2473,45;8399,73;117996,30;86764,20;0,00;3297,86;523,51;0,00;0,00;0,0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0
Fábio Trad;MS;PSD;25537,60;9891,95;0,00;62338,00;0,00;9,77;1495,64;478,06;348,00;0,0;0,00;50671,68;0,00;0,00;0,00;0,00;0,00;0,00;0;0
Diego Andrade;MG;PSD;22783,43;15985,11;0,00;29500,00;2688,23;6954,52;166,32;0,00;0,00;0,0;70,00;0,00;58100,00;66148,82;0,00;0,00;0,00;0,00;0;0
Bruna Furlan;SP;PSDB;1291,05;14201,42;0,00;19000,00;0,00;9244,93;526,83;0,00;0,00;0,0;0,00;0,00;16800,00;8180,66;0,00;0,00;6845,00;0,00;0;0
Vinicius Gurgel;AP;PL;0,00;0,00;140000,00;0,00;0,00;872,92;663,03;0,00;0,00;0,0;0,00;0,00;21600,00;44157,83;0,00;0,00;0,00;0,00;0;0
Zeca Dirceu;PR;PT;42426,18;64561,06;20000,00;136706,10;12481,35;3679,66;820,84;7282,05;22660,82;0,0;4588,82;484,38;0,00;51931,35;0,00;0,00;0,00;0,00;0;0
Flávia Morais;GO;PDT;64000,00;31811,33;48200,00;70440,00;0,00;21201,47;239,28;0,00;0,00;0,0;0,00;0,00;45200,00;0,00;0,00;0,00;0,00;0,00;0;0
Dimas Fabiano;MG;PP;13965,09;47184,46;0,00;71161,32;0,00;8236,02;237,77;1336,52;17688,49;0,0;2377,28;520,89;88960,00;28123,29;0,00;0,00;0,00;0,00;0;0
Arthur Oliveira Maia;BA;UNIÃO;61600,27;58422,76;0,00;8015,00;8327,40;14864,78;506,03;389,61;18308,76;0,0;110,27;8576,66;127000,00;68421,07;707,30;0,00;0,00;0,00;0;0
Pr. Marco Feliciano;SP;PL;718,70;13487,25;0,00;10500,00;0,00;4152,08;2020,62;0,00;0,00;0,0;0,00;8550,44;74410,00;116797,60;0,00;0,00;0,00;0,00;0;0
Pedro Uczai;SC;PT;59290,66;50540,39;55000,00;21754,72;3562,47;8985,57;3784,40;5689,11;21208,35;0,0;389,72;10714,87;19335,00;51456,42;0,00;2373,66;850,00;0,00;0;0
Valmir Assunção;BA;PT;72726,38;45093,43;0,00;56800,00;1815,08;16963,78;92,11;0,00;556,50;0,0;1172,48;1643,45;86200,00;79920,39;287,85;0,00;0,00;0,00;0;0
José Nunes;BA;PSD;22836,48;16706,02;0,00;50325,00;0,00;6843,79;126,00;0,00;1276,12;0,0;0,00;4057,79;35700,00;14839,51;0,00;0,00;0,00;0,00;0;0
Sandro Alex;PR;PSD;4000,00;28304,85;40000,00;32849,00;0,00;3681,66;93,90;1405,84;4487,71;0,0;0,00;0,00;21000,00;44527,18;0,00;0,00;0,00;0,00;0;0
Zé Silva;MG;SOLIDARIEDADE;30112,86;52940,63;0,00;87828,75;0,00;10583,45;707,26;660,46;11322,00;0,0;0,00;20563,77;41819,75;21030,85;0,00;0,00;0,00;0,00;0;0
Ruy Carneiro;PB;PSC;320,80;13559,64;0,00;157100,00;0,00;984,60;261,25;0,00;0,00;0,0;0,00;6274,82;64500,00;56422,03;0,00;0,00;0,00;0,00;0;0
Professora Dorinha Seabra Rezende;TO;UNIÃO;36261,81;30718,99;1804,00;47450,00;0,00;9261,14;5959,00;0,00;607,75;0,0;0,00;2533,90;39000,00;73382,68;0,00;0,00;0,00;0,00;0;0
Eros Biondini;MG;PL;42849,29;51477,71;0,00;0,00;0,00;3865,75;673,30;0,00;21299,15;0,0;3322,20;4851,79;93590,00;52393,99;0,00;0,00;0,00;0,00;0;0
Professora Marcivania;AP;PCdoB;15000,00;48794,05;38181,00;100900,00;1472,88;951,13;0,00;0,00;0,00;0,0;0,00;0,00;96700,00;66887,18;0,00;0,00;0,00;0,00;0;0
Pastor Eurico;PE;PL;1041,80;46619,59;0,00;30360,00;7138,55;8354,18;2785,71;3513,96;3809,80;0,0;365,50;2391,77;111823,60;123096,16;0,00;0,00;0,00;0,00;0;0
Luiz Carlos;AP;PSDB;11666,67;1799,88;133900,00;68500,00;0,00;1675,21;0,00;0,00;0,00;0,0;0,00;1411,00;26880,00;67713,65;0,00;0,00;0,00;0,00;0;0
Rogério Peninha Mendonça;SC;MDB;41805,22;48181,20;0,00;18264,20;1553,58;8750,09;1741,85;1808,62;11596,36;0,0;0,00;0,00;81600,00;74584,80;0,00;1038,56;0,00;0,00;0;0
Roberto de Lucena;SP;REPUBLICANOS;18753,80;41398,68;3000,00;78640,54;11002,37;4095,76;1256,52;0,00;21458,77;0,0;19017,88;0,00;52000,00;88961,00;0,00;0,00;0,00;0,00;0;0
Ricardo Izar;SP;REPUBLICANOS;48571,27;4374,81;1200,00;144500,00;0,00;16418,09;979,94;0,00;2148,98;0,0;0,00;3243,33;37292,04;59413,98;0,00;0,00;0,00;0,00;0;0
Augusto Coutinho;PE;REPUBLICANOS;163717,01;41198,43;849,00;26657,78;12867,29;8190,50;2827,91;161,33;1795,44;0,0;172,43;1561,01;61240,00;51679,30;0,00;0,00;1321,80;0,00;0;0
Félix Mendonça Júnior;BA;PDT;54800,00;35393,57;0,00;45000,00;0,00;13495,47;6109,32;0,00;0,00;7875,0;0,00;87998,88;58000,00;8528,84;0,00;0,00;0,00;0,00;0;0
Guilherme Mussi;SP;PP;0,00;0,00;0,00;60000,00;0,00;3155,80;2062,95;0,00;0,00;0,0;0,00;2080,96;0,00;99961,18;0,00;0,00;0,00;0,00;0;0
Genecias Noronha;CE;PL;4363,50;0,00;35000,00;34399,00;0,00;3553,26;548,49;0,00;0,00;23000,0;0,00;658,61;0,00;75818,50;0,00;0,00;0,00;0,00;0;0
Giovani Cherini;RS;PL;127427,86;48237,52;0,00;41942,68;2438,46;16322,61;1185,98;4293,82;19494,15;0,0;4336,01;6335,36;82182,26;59108,95;0,00;0,00;0,00;0,00;0;0
Hugo Motta;PB;REPUBLICANOS;650,30;48808,01;0,00;114736,08;12889,12;6471,10;2486,26;0,00;0,00;0,0;0,00;0,00;35610,00;82512,76;0,00;0,00;0,00;0,00;0;0
Domingos Sávio;MG;PL;64019,69;37547,57;14000,00;52406,55;1825,86;16958,63;380,40;1744,27;6865,53;0,0;2416,32;20,92;90000,00;21707,34;0,00;0,00;700,00;0,00;0;0
Tiririca;SP;PL;224,93;3577,42;0,00;0,00;0,00;6230,27;102,94;0,00;1307,10;0,0;0,00;2542,83;69923,11;107314,07;0,00;0,00;0,00;0,00;0;0
Emidinho Madeira;MG;PL;61334,94;46712,22;0,00;109120,00;947,90;4297,04;0,00;509,51;0,00;0,0;325,00;43548,19;32523,42;1228,30;0,00;0,00;0,00;0,00;0;0
Luiz Nishimori;PR;PSD;41569,49;30903,07;55130,00;65544,00;1834,20;6890,58;364,55;0,00;0,00;0,0;0,00;76238,25;49500,00;0,00;0,00;402,00;2050,10;0,00;0;0
Delegado Waldir;GO;UNIÃO;253,80;43475,70;0,00;0,00;0,00;48,47;637,38;0,00;0,00;0,0;0,00;0,00;93250,00;0,00;0,00;0,00;0,00;0,00;0;0
Carmen Zanotto;SC;CIDADANIA;38751,60;39873,58;0,00;19692,40;0,00;2978,63;5283,38;0,00;8144,89;0,0;139,84;7611,28;41250,00;67395,84;0,00;472,50;255,00;0,00;0;0
Magda Mofatto;GO;PL;94953,85;48194,95;0,00;45000,00;0,00;4208,32;331,81;0,00;0,00;0,0;6017,10;0,00;50300,00;0,00;0,00;0,00;1509,60;0,00;0;0
Paulão;AL;PT;32556,21;6518,19;0,00;24000,00;0,00;5954,83;168,59;2131,93;0,00;0,0;0,00;20454,39;82800,00;45750,46;0,00;0,00;0,00;0,00;0;0
Fabio Reis;SE;PSD;68200,89;40779,80;0,00;16500,00;0,00;14903,10;1373,22;0,00;0,00;0,0;0,00;0,00;115000,00;56675,90;0,00;0,00;0,00;0,00;0;0
Subtenente Gonzaga;MG;PSD;102744,70;44648,10;0,00;40693,20;0,00;2879,66;7127,48;2092,15;22054,79;0,0;10452,37;4996,86;39825,40;36135,41;514,17;0,00;416,00;0,00;0;0
Leo de Brito;AC;PT;72757,00;44415,35;6000,00;135500,00;0,00;18,44;0,00;0,00;1781,00;1400,0;3753,24;0,00;36000,00;100461,89;0,00;0,00;0,00;0,00;10900;0
Capitão Augusto;SP;PL;72579,45;40453,31;0,00;98420,00;0,00;6625,56;2151,13;86,90;939,68;0,0;15549,09;0,00;41200,00;15496,08;0,00;0,00;0,00;0,00;0;0
André Abdon;AP;PP;39303,00;45579,86;0,00;106000,00;0,00;7871,55;0,00;0,00;4007,65;0,0;1993,29;7832,96;100950,00;84475,86;0,00;0,00;0,00;0,00;4500;0
Leandre;PR;PSD;64172,27;48634,04;66000,00;68708,98;0,00;7600,46;4926,92;0,00;10271,54;0,0;490,46;0,00;45942,00;41656,86;763,37;1590,00;0,00;0,00;0;0
Afonso Motta;RS;PDT;62136,76;47610,95;0,00;65689,00;0,00;12942,61;7758,95;2066,75;9362,81;0,0;1154,05;22777,84;77000,00;45643,36;176,44;0,00;0,00;0,00;0;0
Alan Rick;AC;UNIÃO;15106,94;20498,71;54250,00;87900,00;13296,47;4751,45;1167,67;0,00;3742,50;0,0;0,00;0,00;41500,00;26012,62;0,00;0,00;0,00;0,00;0;0
Jéssica Sales;AC;MDB;0,00;0,00;0,00;319500,00;0,00;3972,33;63,26;0,00;0,00;0,0;0,00;49293,37;0,00;0,00;0,00;0,00;0,00;0,00;0;0
Marx Beltrão;AL;PP;1120,60;3811,37;15700,00;190100,00;0,00;24,85;0,00;0,00;0,00;0,0;0,00;5126,19;4000,00;57545,95;0,00;0,00;0,00;0,00;0;0
Pedro Vilela;AL;PSDB;436,50;29305,38;162000,00;125000,00;0,00;30,57;416,52;0,00;0,00;0,0;0,00;0,00;0,00;75866,02;0,00;0,00;0,00;0,00;0;0
Elmar Nascimento;BA;UNIÃO;50002,15;7904,20;108000,00;0,00;2602,46;8663,93;370,77;0,00;0,00;0,0;0,00;5455,90;96000,00;108533,18;0,00;0,00;0,00;0,00;0;0
Jorge Solla;BA;PT;93427,16;59812,62;0,00;49610,00;4138,09;5637,05;3129,42;7287,33;13177,42;0,0;6387,09;0,00;85186,88;57656,47;1095,48;0,00;0,00;0,00;0;0
Mário Negromonte Jr.;BA;PP;0,00;26215,38;0,00;78267,56;0,00;8907,14;887,06;0,00;0,00;12147,8;0,00;4566,64;108060,50;44650,87;0,00;0,00;0,00;0,00;0;0
Paulo Azi;BA;UNIÃO;19589,80;18992,10;96000,00;34500,00;0,00;7284,84;3443,65;0,00;0,00;0,0;0,00;0,00;76200,00;42924,03;0,00;0,00;0,00;0,00;0;0
Ronaldo Carletto;BA;PP;433,50;13767,18;125800,00;81600,00;811,63;5563,10;623,32;0,00;0,00;0,0;0,00;3497,25;0,00;37893,94;0,00;0,00;0,00;0,00;0;0
Tia Eron;BA;REPUBLICANOS;0,00;2510,26;24000,00;50000,00;0,00;358,56;0,00;0,00;0,00;0,0;0,00;0,00;16900,00;19212,22;0,00;0,00;0,00;0,00;0;0
Uldurico Junior;BA;MDB;0,00;1505,86;120000,00;136000,00;0,00;34,27;2100,57;0,00;5830,93;0,0;0,00;0,00;0,00;126203,36;0,00;0,00;0,00;0,00;0;0
Luizianne Lins;CE;PT;40103,20;10263,78;47200,00;124614,00;0,00;7871,20;1014,27;6948,73;4551,90;20800,0;317,51;1142,90;39130,00;79576,88;0,00;0,00;3942,40;0,00;0;0
Evair Vieira de Melo;ES;PP;7589,93;58388,09;0,00;91333,33;4907,17;8102,78;886,95;0,00;2302,38;0,0;0,00;615,00;78110,00;59683,60;0,00;0,00;0,00;0,00;0;0
Helder Salomão;ES;PT;35381,20;34372,25;73500,00;51396,27;32040,37;12282,53;212,24;0,00;4826,12;0,0;1370,96;0,00;47210,00;0,00;0,00;0,00;0,00;0,00;0;0
Célio Silveira;GO;MDB;1206,50;48722,93;90000,00;75000,00;0,00;3132,73;4417,01;0,00;1502,00;0,0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0
Lucas Vergilio;GO;SOLIDARIEDADE;463,20;34150,40;117000,00;7000,00;0,00;49,06;0,00;0,00;0,00;0,0;0,00;0,00;58403,09;0,00;0,00;0,00;0,00;0,00;0;0
Aluisio Mendes;MA;PSC;58268,16;35384,76;0,00;5500,00;0,00;11265,21;1631,79;0,00;12107,82;0,0;639,91;0,00;65000,00;110383,42;0,00;0,00;0,00;0,00;0;0
André Fufuca;MA;PP;0,00;16112,00;0,00;35019,40;0,00;5927,10;1639,71;0,00;0,00;0,0;0,00;38554,66;61100,00;128777,29;0,00;0,00;0,00;0,00;0;0
Hildo Rocha;MA;MDB;2961,30;36604,45;36000,00;101395,71;0,00;6275,53;1971,95;0,00;6838,06;0,0;0,00;54881,84;21000,00;54119,46;0,00;0,00;0,00;0,00;0;0
Juscelino Filho;MA;UNIÃO;42932,47;36700,55;99000,00;15100,00;0,00;19454,87;848,47;0,00;0,00;0,0;0,00;118403,57;66000,00;0,00;0,00;0,00;0,00;0,00;0;0
Rubens Pereira Júnior;MA;PT;4899,00;0,00;134800,00;117450,00;0,00;97,54;1485,92;0,00;0,00;0,0;0,00;4797,97;0,00;92581,82;0,00;0,00;0,00;0,00;0;0
Victor Mendes;MA;MDB;389,00;22174,83;75000,00;1200,00;13357,34;45,32;822,92;602,75;0,00;0,0;0,00;3296,96;46000,00;11403,05;0,00;0,00;0,00;0,00;0;0
Zé Carlos;MA;PT;66895,49;22139,63;0,00;28800,00;0,00;17275,74;402,61;3757,36;3566,40;0,0;4657,72;7152,02;83460,00;115186,23;248,00;4977,00;0,00;0,00;0;0
Misael Varella;MG;PSD;89706,42;48366,58;12000,00;90265,00;0,00;5918,66;685,34;0,00;0,00;0,0;0,00;24400,46;0,00;988,10;0,00;0,00;0,00;0,00;0;0
Newton Cardoso Jr;MG;MDB;26400,00;12782,72;12000,00;108669,75;11618,89;2953,29;680,84;0,00;0,00;0,0;0,00;39789,16;66665,00;1373,00;0,00;0,00;0,00;0,00;0;0
Tereza Cristina;MS;PP;9774,30;16404,26;40000,00;4500,00;0,00;1457,45;457,27;0,00;0,00;0,0;0,00;5573,64;0,00;66230,70;0,00;0,00;0,00;0,00;0;0
Delegado Éder Mauro;PA;PL;0,00;18420,38;45000,00;0,00;0,00;26,87;0,00;0,00;0,00;0,0;0,00;103747,97;50000,00;0,00;0,00;0,00;0,00;0,00;108000;0
Hélio Leite;PA;UNIÃO;7685,90;56640,46;0,00;166200,00;0,00;5879,50;169,33;0,00;441,00;0,0;0,00;0,00;0,00;77329,84;0,00;0,00;0,00;0,00;0;0
Joaquim Passarinho;PA;PL;49723,21;20509,13;0,00;18880,00;0,00;7959,06;3262,55;0,00;11918,52;0,0;0,00;56996,89;32622,28;125290,35;0,00;0,00;0,00;0,00;0;0
Pedro Cunha Lima;PB;PSDB;0,00;3839,88;10000,00;11500,00;0,00;35,24;78,19;0,00;0,00;0,0;0,00;8707,16;0,00;19977,93;0,00;0,00;0,00;0,00;0;0
Daniel Coelho;PE;CIDADANIA;31705,50;42533,28;40500,00;65092,38;0,00;10657,33;383,00;0,00;0,00;0,0;0,00;0,00;122148,32;55624,70;0,00;0,00;0,00;0,00;0;0
Ricardo Teobaldo;PE;PODE;136374,36;3385,53;3000,00;40000,00;0,00;16976,43;25,61;0,00;0,00;0,0;0,00;2970,02;125000,00;24369,44;0,00;0,00;0,00;0,00;0;0
Sebastião Oliveira;PE;AVANTE;82071,58;49312,88;54000,00;6500,00;2889,23;9350,88;711,03;0,00;0,00;14000,0;0,00;16124,58;88107,26;46740,24;0,00;0,00;0,00;0,00;0;0
Tadeu Alencar;PE;PSB;69255,35;56852,48;0,00;10820,10;17555,45;11029,24;1928,79;0,00;30833,63;0,0;6262,12;342,90;97025,96;68884,31;0,00;0,00;212,30;0,00;0;0
Capitão Fábio Abreu;PI;PSD;55946,80;2107,81;105000,00;74560,00;0,00;4874,35;5017,66;419,05;0,00;0,0;0,00;3844,28;0,00;80028,33;0,00;80074,80;0,00;0,00;0;0
Rejane Dias;PI;PT;59121,94;32234,59;0,00;0,00;0,00;4365,59;0,00;0,00;0,00;0,0;0,00;0,00;91000,00;55617,09;0,00;0,00;0,00;0,00;0;0
Aliel Machado;PR;PV;30080,95;44798,12;0,00;90800,00;5098,11;77,51;18285,71;0,00;2148,00;0,0;828,66;1533,33;84985,72;65096,53;0,00;0,00;0,00;0,00;0;0
Christiane de Souza Yared;PR;PP;86534,99;8593,72;0,00;60000,00;0,00;5868,86;930,94;1520,74;0,00;0,0;0,00;4331,56;26600,00;120454,71;0,00;0,00;0,00;0,00;0;0
Diego Garcia;PR;REPUBLICANOS;43286,52;42368,07;0,00;40174,78;14928,80;28117,86;1617,03;0,00;6763,01;0,0;5276,94;2473,56;25551,95;42108,00;3062,42;0,00;0,00;0,00;0;0
Roman;PR;PP;12515,53;23631,02;20000,00;47450,00;0,00;8005,36;183,60;0,00;5259,44;0,0;4703,70;1944,31;6000,00;25245,91;325,76;0,00;0,00;0,00;0;0
Luciano Ducci;PR;PSB;97071,21;38232,39;72000,00;17400,00;0,00;7288,37;77,20;0,00;1802,00;0,0;0,00;7115,08;19290,00;65814,32;0,00;0,00;0,00;0,00;0;0
Sergio Souza;PR;MDB;73549,16;48681,61;0,00;24335,09;1611,64;9323,79;1771,76;0,00;13441,50;0,0;3842,90;77914,97;103259,00;0,00;0,00;0,00;584,10;0,00;0;0
Toninho Wandscheer;PR;PROS;59815,38;23925,99;42400,00;106500,00;0,00;6403,12;586,32;78,73;1460,24;0,0;2278,00;14656,54;17780,00;32583,60;649,90;0,00;0,00;0,00;0;0
Rossoni;PR;PSDB;25762,91;12526,92;39000,00;14500,00;0,00;2020,53;930,13;130,00;1896,73;0,0;0,00;1992,46;55200,00;24916,89;0,00;0,00;0,00;0,00;0;0
Altineu Côrtes;RJ;PL;6381,83;0,00;0,00;72500,00;39431,12;14,58;244,50;0,00;0,00;0,0;0,00;0,00;5200,00;44552,65;0,00;0,00;0,00;0,00;0;0
Clarissa Garotinho;RJ;UNIÃO;376,60;11689,29;0,00;32900,00;0,00;13091,74;0,00;766,52;0,00;0,0;432,30;1999,83;8360,00;219346,70;0,00;0,00;0,00;0,00;0;0
Marcos Soares;RJ;UNIÃO;16773,62;48597,69;0,00;32169,69;0,00;4286,90;2134,50;13894,08;4928,42;0,0;7445,02;0,00;44104,50;68926,82;155,98;0,00;0,00;0,00;0;0
Rosangela Gomes;RJ;REPUBLICANOS;39509,01;13967,03;24000,00;85300,00;3980,07;6386,88;1017,81;1574,72;2577,99;0,0;0,00;27502,67;80000,00;32635,64;0,00;0,00;0,00;0,00;0;0
Soraya Santos;RJ;PL;2504,70;4136,29;50100,00;1100,00;0,00;19609,71;4094,25;0,00;2116,91;0,0;500,00;5236,74;0,00;151981,25;0,00;0,00;0,00;0,00;0;0
Sóstenes Cavalcante;RJ;PL;419,00;35778,71;0,00;67250,00;0,00;55,71;396,27;0,00;0,00;0,0;9587,61;1022,76;92500,00;76359,58;0,00;0,00;0,00;0,00;0;0
Beto Rosado;RN;PP;19141,30;57410,94;128300,00;89000,00;0,00;6995,12;6171,48;0,00;4173,00;0,0;0,00;1968,25;22562,08;77828,37;0,00;0,00;0,00;0,00;0;0
Rafael Motta;RN;PSB;14342,55;19811,18;40000,00;50800,00;552,10;6997,38;228,72;0,00;693,00;0,0;0,00;5246,90;4300,00;108972,46;0,00;0,00;0,00;0,00;0;0
Walter Alves;RN;MDB;28590,62;36596,45;72000,00;68500,00;0,00;5183,34;199,32;0,00;0,00;0,0;0,00;104715,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0
Expedito Netto;RO;PSD;295,30;33518,72;0,00;34500,00;0,00;11341,28;389,34;61,59;10384,80;0,0;0,00;0,00;58200,00;61661,50;0,00;0,00;0,00;0,00;0;0
Lucio Mosquini;RO;MDB;4277,41;48093,83;0,00;93613,00;0,00;13596,15;2517,63;2280,59;8966,00;31850,0;0,00;62424,62;24800,00;13818,90;0,00;0,00;0,00;0,00;0;0
Mariana Carvalho;RO;REPUBLICANOS;4397,40;8271,12;0,00;123265,60;0,00;9077,44;1347,26;0,00;250,00;0,0;0,00;0,00;0,00;53949,67;0,00;0,00;0,00;0,00;0;0
Hiran Gonçalves;RR;PP;14802,42;42216,18;72000,00;125000,00;0,00;17804,16;997,34;0,00;0,00;0,0;0,00;26132,24;11760,00;65236,78;0,00;0,00;0,00;0,00;0;0
Shéridan;RR;PSDB;4998,86;13463,54;160000,00;21980,00;113454,82;4928,50;587,59;0,00;0,00;0,0;0,00;0,00;49500,00;0,00;976,00;0,00;0,00;0,00;0;0
Carlos Gomes;RS;REPUBLICANOS;71852,02;36442,92;0,00;18880,00;0,00;8641,41;154,55;2922,15;8044,02;0,0;397,75;4234,88;25941,13;90118,96;0,00;0,00;0,00;0,00;0;0
Covatti Filho;RS;PP;84043,21;19708,89;0,00;96958,50;0,00;9835,73;448,64;0,00;558,00;0,0;0,00;1562,38;88670,00;54855,52;0,00;0,00;0,00;0,00;0;0
Heitor Schuch;RS;PSB;59286,84;34529,57;0,00;79049,09;0,00;12478,83;2058,47;999,18;10848,22;0,0;3700,65;2785,34;53097,61;48005,79;93,95;0,00;1454,30;0,00;0;0
Geovania de Sá;SC;PSDB;39922,46;48167,83;0,00;100865,39;0,00;4407,17;3179,32;2634,13;17442,18;0,0;2432,08;0,00;71533,33;41601,34;0,00;0,00;0,00;0,00;0;0
Fábio Mitidieri;SE;PSD;4785,30;26007,68;11000,00;54480,00;0,00;1689,27;57,39;0,00;0,00;0,0;0,00;2401,99;70200,00;56604,18;0,00;0,00;0,00;0,00;0;0
João Daniel;SE;PT;84760,14;59537,57;60660,00;33660,00;12039,22;3155,55;59,99;0,00;0,00;0,0;0,00;0,00;90000,00;36387,62;0,00;0,00;0,00;0,00;0;0
