tx_nome_parlamentar;sg_uf;sg_partido;manutencao_de_escritorio_de_apoio_a_atividade_parlamentar;combustiveis_e_lubrificantes;consultorias_pesquisas_e_trabalhos_tecnicos;divulgacao_da_atividade_parlamentar;passagem_aerea_reembolso;telefonia;servicos_postais;fornecimento_de_alimentacao_do_parlamentar;hospedagem_exceto_do_parlamentar_no_distrito_federal;locacao_ou_fretamento_de_aeronaves;servico_de_taxi_pedagio_e_estacionamento;passagem_aerea_rpa;locacao_ou_fretamento_de_veiculos_automotores;passagem_aerea_sigepa;passagens_terrestres_maritimas_ou_fluviais;servico_de_seguranca_prestado_por_empresa_especializada;assinatura_de_publicacoes;aquisicao_de_tokens_e_certificados_digitais;locacao_ou_fretamento_de_embarcacoes;participacao_em_curso_palestra_ou_evento_similar
Maurício Dziedricki;RS;PODE;49602,58;56973,00;0,00;89097,92;0,00;11106,30;357,12;683,63;22166,50;0,0;2638,25;0,00;73508,33;73266,44;0,00;0,00;117,50;0,00;0;0
Marcelo Freixo;RJ;PSB;38733,67;30856,78;0,00;40276,50;1649,96;2,73;63,26;0,00;848,95;0,0;0,00;41663,53;0,00;67258,87;0,00;0,00;0,00;0,00;0;0
Márcio Jerry;MA;PCdoB;57225,94;15340,33;0,00;7700,00;0,00;2309,79;4713,61;0,00;0,00;0,0;791,36;4943,04;0,00;70673,84;0,00;0,00;34,90;0,00;0;0
Dra. Soraya Manato;ES;PTB;16492,40;0,00;34000,00;46300,00;0,00;13768,36;275,05;0,00;0,00;0,0;0,00;52526,24;83100,00;30522,03;0,00;0,00;0,00;0,00;0;0
Pedro Augusto Bezerra;CE;PDT;30058,40;44279,34;0,00;69580,00;9629,88;7859,14;3185,04;152,63;15462,83;0,0;0,00;146295,28;0,00;2746,21;335,80;0,00;0,00;0,00;0;0
Leur Lomanto Júnior;BA;UNIÃO;59690,50;11076,64;36000,00;42200,00;1676,45;4774,79;2037,53;0,00;730,94;0,0;0,00;4113,61;125000,00;63460,50;0,00;0,00;0,00;0,00;0;0
Milton Coelho;PE;PSB;68476,77;34128,50;54000,00;65628,59;2321,68;5422,72;8430,38;249,70;3600,21;0,0;1211,74;2468,88;98156,50;53134,08;0,00;0,00;0,00;0,00;0;0
Eduardo Bolsonaro;SP;PL;74497,85;13211,67;0,00;0,00;1430,37;7869,62;572,08;587,76;7482,00;0,0;452,50;103340,20;78331,87;2275,29;0,00;0,00;0,00;0,00;0;0
Fernando Monteiro;PE;PP;83076,70;31488,26;0,00;1680,00;0,00;3534,84;0,00;0,00;8911,35;0,0;0,00;18077,65;60300,00;94951,12;0,00;0,00;0,00;0,00;0;0
Stefano Aguiar;MG;PSD;113624,20;32036,46;0,00;27080,00;0,00;13650,17;1975,36;85,36;3602,99;0,0;7712,51;41595,64;42235,34;2364,41;0,00;0,00;0,00;0,00;0;0
