amicus;cutoffs_ALL;cutoffs_BREYER;cutoffs_GINSBURG;cutoffs_KENNEDY;cutoffs_ROBERTS;cutoffs_SCALIA;BREYER_res_questions;GINSBURG_res_questions;KENNEDY_res_questions;ROBERTS_res_questions;SCALIA_res_questions;BREYER_pet_questions;GINSBURG_pet_questions;KENNEDY_pet_questions;ROBERTS_pet_questions;SCALIA_pet_questions;BREYER_question_diff;GINSBURG_question_diff;KENNEDY_question_diff;ROBERTS_question_diff;SCALIA_question_diff;BREYER_cc_ratio_pet;GINSBURG_cc_ratio_pet;KENNEDY_cc_ratio_pet;ROBERTS_cc_ratio_pet;SCALIA_cc_ratio_pet;BREYER_cc_ratio_res;GINSBURG_cc_ratio_res;KENNEDY_cc_ratio_res;ROBERTS_cc_ratio_res;SCALIA_cc_ratio_res;BREYER_cc_ratio_diff;GINSBURG_cc_ratio_diff;KENNEDY_cc_ratio_diff;ROBERTS_cc_ratio_diff;SCALIA_cc_ratio_diff;BREYER_qc_ratio_diff;GINSBURG_qc_ratio_diff;KENNEDY_qc_ratio_diff;ROBERTS_qc_ratio_diff;SCALIA_qc_ratio_diff;BREYER_wc_ratio_diff;GINSBURG_wc_ratio_diff;KENNEDY_wc_ratio_diff;ROBERTS_wc_ratio_diff;SCALIA_wc_ratio_diff;caseOrigin_circuit;adminAction;adminActionState;lcDispositionDirection;lcDisposition;issueArea;certReason;jurisdiction;winner
0;-8;0,000000000;0,333333333;0,000000000;0,111111111;-0,636363636;0,0000000000000000;0,5000000000000000;0,5000000000000000;0,3000000000000000;0,7500000000000000;0,0000000000000000;0,1333333333333333;0,0000000000000000;0,2631578947368421;0,3846153846153846;0;-1;-1;0;-1;0,5000000000000000;0,7894736842105263;0,4666666666666667;0,6551724137931034;0,8666666666666667;0,5000000000000000;0,2105263157894737;0,5333333333333333;0,3448275862068966;0,1333333333333333;0;1;0;1;1;0;0;-1;1;1;0;1;0;1;1;5;0;0;1,0;2,0;1;2;1;0
0;0;-0,333333333;0,400000000;0,333333333;-0,428571429;-1,000000000;0,5000000000000000;0,2222222222222222;0,2000000000000000;0,2000000000000000;0,0000000000000000;0,6000000000000000;0,0588235294117647;0,2857142857142857;0,2272727272727273;0,4166666666666667;0;0;0;0;1;0,5000000000000000;0,3863636363636363;0,5833333333333334;0,8148148148148148;0,9230769230769232;0,5000000000000000;0,6136363636363636;0,4166666666666667;0,1851851851851851;0,0769230769230769;0;-1;0;1;1;0;-1;1;1;1;0;-1;0;1;1;13;0;0;1,5;-1,0;9;11;1;0
0;2;0,384615385;0,333333333;0,333333333;-0,636363636;0,142857143;0,3265306122448979;0,2000000000000000;0,4545454545454546;0,5000000000000000;0,0714285714285714;0,6315789473684210;0,5333333333333333;0,6666666666666666;0,4333333333333333;0,2083333333333334;1;1;1;0;0;0,2794117647058824;0,5000000000000000;0,3529411764705883;0,8823529411764706;0,6315789473684210;0,7205882352941176;0,5000000000000000;0,6470588235294118;0,1176470588235294;0,3684210526315789;-1;0;-1;1;1;0;1;0;1;1;-1;0;0;1;1;5;1;0;1,0;2,0;2;2;1;1
0;14;0,666666667;0,333333333;0,000000000;-0,555555556;-0,692307692;0,2352941176470588;0,0833333333333333;0,3333333333333333;0,3636363636363637;1,0000000000000000;0,2000000000000000;0,3750000000000000;1,0000000000000000;0,5909090909090909;0,1923076923076923;0;1;1;1;-1;0,1282051282051282;0,4000000000000000;0,3571428571428572;0,6666666666666666;0,8666666666666667;0,8717948717948718;0,6000000000000000;0,6428571428571429;0,3333333333333333;0,1333333333333333;-1;0;-1;1;1;-1;1;1;1;0;-1;0;0;1;1;12;0;0;1,0;2,0;1;12;1;1
1;-2;1,000000000;0,428571429;-0,142857143;-1,000000000;0,000000000;0,2758620689655172;0,1333333333333333;0,2500000000000000;0,2222222222222222;0,2500000000000000;0,0000000000000000;0,7333333333333333;0,4615384615384616;0,2000000000000000;1,0000000000000000;-1;1;1;0;1;0,0333333333333333;0,3333333333333333;0,7647058823529411;0,6250000000000000;0,3333333333333333;0,9666666666666668;0,6666666666666666;0,2352941176470588;0,3750000000000000;0,6666666666666666;-1;-1;1;1;-1;-1;1;1;0;1;-1;-1;1;1;-1;9;0;0;2,0;2,0;9;12;1;1
1;-17;0,272727273;-1,000000000;-0,750000000;0,250000000;-0,200000000;0,2000000000000000;0,3333333333333333;0,1428571428571428;0,3913043478260870;0,2916666666666667;0,3200000000000000;0,2333333333333334;0,5454545454545454;0,5833333333333334;0,3611111111111111;0;0;1;0;0;0,4545454545454546;0,9090909090909092;0,7586206896551724;0,3428571428571429;0,6000000000000000;0,5454545454545454;0,0909090909090909;0,2413793103448276;0,6571428571428571;0,4000000000000000;0;1;1;-1;0;0;1;1;0;1;0;1;1;0;0;10;0;0;2,0;4,0;2;11;1;1
1;9;-1,000000000;-1,000000000;-0,333333333;0,500000000;0,500000000;0,1739130434782609;1,0000000000000000;0,6666666666666666;0,1176470588235294;0,3170731707317073;0,2142857142857143;0,4615384615384616;0,3636363636363637;0,0000000000000000;0,7777777777777778;0;-1;-1;0;1;0,3783783783783784;0,9285714285714286;0,7857142857142857;0,2916666666666667;0,1800000000000000;0,6216216216216216;0,0714285714285714;0,2142857142857143;0,7083333333333334;0,8200000000000000;-1;1;1;-1;-1;0;1;1;-1;-1;0;1;0;-1;-1;0;1;0;2,0;2,0;10;8;1;0
0;10;0,333333333;0,333333333;-0,333333333;-0,076923077;0,250000000;0,2068965517241379;0,3500000000000000;0,4000000000000000;0,4347826086956522;0,2553191489361702;0,1904761904761905;0,3333333333333333;0,5000000000000000;0,3076923076923077;0,2352941176470588;0;0;0;0;0;0,4200000000000000;0,3750000000000000;0,7368421052631579;0,6290322580645161;0,2656250000000000;0,5800000000000000;0,6250000000000000;0,2631578947368421;0,3709677419354839;0,7343750000000000;0;-1;1;1;-1;0;-1;1;0;-1;0;0;1;1;-1;-1;1;0;2,0;2,0;12;2;1;0
1;11;1,000000000;0,000000000;1,000000000;-0,428571429;0,285714286;0,3076923076923077;0,0000000000000000;0,7500000000000000;0,5000000000000000;0,3333333333333333;0,0000000000000000;0,2000000000000000;0,6250000000000000;0,2647058823529412;0,5625000000000000;-1;0;0;-1;1;0,0714285714285714;0,4545454545454546;0,6666666666666666;0,7727272727272727;0,3076923076923077;0,9285714285714286;0,5454545454545454;0,3333333333333333;0,2272727272727273;0,6923076923076923;-1;0;1;1;-1;-1;1;1;1;0;-1;-1;1;1;-1;11;1;1;2,0;2,0;8;12;1;1
0;12;0,000000000;0,714285714;0,000000000;-0,090909091;-0,777777778;0,3125000000000000;0,3870967741935484;0,0000000000000000;0,4166666666666667;0,5000000000000000;0,4062500000000000;0,1000000000000000;0,0000000000000000;0,1739130434782609;0,2727272727272727;0;-1;0;-1;-1;0,6666666666666666;0,2439024390243902;0,5000000000000000;0,6571428571428571;0,8461538461538461;0,3333333333333333;0,7560975609756098;0,5000000000000000;0,3428571428571429;0,1538461538461538;1;-1;0;1;1;1;-1;0;0;1;1;-1;0;1;1;1;0;0;1,0;2,0;2;2;1;1
